Source,Target,weight
PHBR,R3BR,1
PHBR,R6BR,1
PHBR,R9AR,1
PHBR,R9BL,1
PHBR,HOA,1
PHBR,PCAR,1
PHBR,PVX,1
PHBR,PVY,1
PHBR,DVE,1
PHBR,EF01,1
PHBR,EF02,1
PHBR,CA07,1
PHBR,CP07,1
PHCL,PHCL,1
PHCL,PHCR,1
PHCL,PVPL,1
PHCL,PVNL,1
PHCL,PVNR,1
PHCL,AVG,1
PHCL,AVBL,1
PHCL,PDA,1
PHCL,AS11,1
PHCL,R1AL,1
PHCL,R2AL,1
PHCL,R2AR,1
PHCL,R2BL,1
PHCL,R3BR,1
PHCL,R4BL,1
PHCL,R4BR,1
PHCL,R5BL,1
PHCL,R7AR,1
PHCL,R8AL,1
PHCL,R8AR,1
PHCL,R8BL,1
PHCL,R8BR,1
PHCL,R9AL,1
PHCL,R9AR,1
PHCL,HOA,1
PHCL,HOB,1
PHCL,PCAL,1
PHCL,PCBL,1
PHCL,PCBR,1
PHCL,SPDL,1
PHCL,PVX,1
PHCL,PVY,1
PHCL,PGA,1
PHCL,CA06,1
PHCL,CA07,1
PHCL,CP01,1
PHCL,CP02,1
PHCL,CP03,1
PHCL,CP06,1
PHCR,AVHR,1
PHCR,PVNR,1
PHCR,AVG,1
PHCR,PDA,1
PHCR,DB07,1
PHCR,AS11,1
PHCR,PDB,1
PHCR,DD06,1
PHCR,R2AL,1
PHCR,R2BL,1
PHCR,R2BR,1
PHCR,R3BR,1
PHCR,R4BL,1
PHCR,R4BR,1
PHCR,R6AR,1
PHCR,R7AL,1
PHCR,R8AL,1
PHCR,R8AR,1
PHCR,R8BL,1
PHCR,R8BR,1
PHCR,R9AR,1
PHCR,HOA,1
PHCR,HOB,1
PHCR,PCAL,1
PHCR,PCAR,1
PHCR,PCBR,1
PHCR,SPCR,1
PHCR,SPDR,1
PHCR,PVX,1
PHCR,PVY,1
PHCR,PVZ,1
PHCR,CA05,1
PHCR,CP04,1
IL2DL,OLQDL,1
IL2DL,IL1DL,1
IL2DL,RICR,1
IL2DL,RIPL,1
IL2DL,URADL,1
IL2DL,CEMDL,1
IL2DR,URYDR,1
IL2DR,OLQDR,1
IL2DR,IL1DR,1
IL2DR,RIH,1
IL2DR,RICL,1
IL2DR,RIPR,1
IL2DR,URADR,1
IL2DR,RMEL,1
IL2DR,RMER,1
IL2DR,RMED,1
IL2DR,RMEV,1
IL2L,OLQDL,1
IL2L,OLQVL,1
IL2L,RIH,1
IL2L,URBL,1
IL2L,RICR,1
IL2L,RMER,1
IL2L,RMDR,1
IL2L,SMBVL,1
